ID,T_NEA,T_NEB,T_NEC,T_SEA,T_SEB,T_SEC,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,foldChange,log10padj,NL_SL,NL_SL_foldChange,NL_SL_padj,NX_SX,NX_SX_foldChange,NX_SX_padj
WBGene00004423,4680.39828899278,4496.79747046598,6301.6590860723,9861.89691202947,14324.9097066406,13390.9930102938,8842.77574574915,1.27949927644511,0.291553328737402,18.6641047706449,1.55889753943035e-05,0.0001099961781086,2.4275470813653,3.95862240443406,True,2.09669009159176,3.34843996079765e-06,True,2.65832813677697,2.69682811251379e-07
WBGene00004438,1681.55911412219,1709.58128684875,2139.90993740423,4281.80312795059,5914.53191334096,5696.414498289,3570.63331299262,1.52255280181986,0.26174739511986,32.4075159752199,1.25002066934766e-08,3.98839928233192e-07,2.87298966249897,6.39920137056267,False,,,True,2.49164602218711,9.69242923639206e-05
WBGene00004455,1.17509372056058,3.99124035840176,9.7579112512733,29.0859413796561,37.9769610462371,28.9239664229061,18.4851856965058,2.64198045693115,0.73444359624103,12.9153812003363,0.0003258930273224,0.0010364867284851,6.24187928692773,2.98443625438303,True,17.6023861457177,7.34519889036605e-07,True,18.6069037802504,9.54715695863114e-06
WBGene00004507,145.711621349512,127.719691468856,72.2085432594224,271.468786210124,347.109423962607,350.301371121862,219.086572895397,1.49098900341945,0.373379461664275,15.3863690179777,8.76180703009412e-05,0.0003905807580943,2.81081597559308,3.40828915597717,False,,,True,3.50209670976827,2.43198632696304e-08
WBGene00004778,58.7546860280289,90.4681147904398,109.288606014261,163.057550158678,217.987756405401,216.126304660048,142.613836342809,1.20576598615211,0.361456616355292,10.917146765718,0.0009527824054078,0.0024225953359116,2.30659703580574,2.61571912323667,False,,,False,,
WBGene00004789,224.44290062707,204.88367173129,133.683384142444,626.669827907137,484.586022949985,480.459220024939,359.120837897144,1.50148868603818,0.325072391960617,20.5489911118306,5.81244169730077e-06,5.22620562917258e-05,2.8313472243051,4.28181350661442,False,,,False,,
WBGene00004790,44.653561381302,47.8948843008211,40.9832272553479,96.9531379321871,118.48811846426,141.406058067541,81.7298312335764,1.42237508743849,0.329641065692121,18.3837245233302,1.80593977709268e-05,0.0001226238232917,2.68026395824896,3.91142514711734,False,,,False,,
WBGene00004796,143.36143390839,107.763489676847,61.4748408830218,970.412771484891,424.582424496931,455.55247116077,360.524571935142,2.567400069811,0.513215768912159,22.4855446608414,2.11730951974206e-06,2.43091513126795e-05,5.92740267599976,4.61423020309225,False,,,True,2.20525413762621,9.78521109079949e-05
WBGene00004801,213.867057142025,194.240364108885,180.521358148556,474.188983704697,416.987032287683,453.142140625528,322.157822669563,1.1921860621487,0.218958481364366,29.1104566942234,6.83669863872655e-08,1.63496511726975e-06,2.28498716595667,5.7864915087767,False,,,True,2.37436334428176,6.76386469321045e-08
WBGene00004802,35.2528116168173,35.9211632256158,23.4189870030559,199.194628842494,60.0035984530546,73.9168030807599,71.2846653702995,1.81887786863042,0.598414642868409,8.80183098945195,0.0030092838471791,0.0062869186485529,3.52806677960212,2.20156215929561,False,,,False,,
WBGene00004809,428.909208004611,359.211632256158,357.139551796603,2347.14733012195,1142.34698827081,968.952875167353,933.951264269581,1.96076620654167,0.431098759926189,19.3148099333617,1.10843266639132e-05,8.53671521596367e-05,3.89268662289523,4.06870920636074,False,,,True,2.4794578667683,0.0001670740031029
WBGene00004810,245.594587597161,164.971268147273,93.6759480122237,1226.01649876066,382.80776734607,394.490764267969,417.926139021892,1.99085362986592,0.622443462885685,9.5324313091367,0.0020187251221729,0.0044924185846819,3.97472109334787,2.34751978479078,False,,,False,,
WBGene00004811,11.7509372056058,5.32165381120234,0.0,226.51778589611,91.9042457318937,69.899585522023,67.5657013611391,4.52954377245305,0.95598403024107,18.3574728177941,1.83099421154942e-05,0.0001236925876877,23.0955623981838,3.90765632480712,True,2.18100588473645,0.0035046059061729,True,4.40340779795966,0.000307522082259
WBGene00004830,89.3071227626039,122.398037657654,97.579112512733,170.990079625857,316.727855125617,303.701647440514,183.45064252083,1.35791977869831,0.376169659708489,12.6667340670326,0.0003722191473118,0.0011503359541222,2.56315331978401,2.93917530598203,False,,,True,3.52555385888534,0.0002030123810324
WBGene00004831,239.719118994358,300.673440332932,313.228951165873,642.534886841495,660.799122204525,690.157976591008,474.518916021699,1.22316377018706,0.227418509491869,28.2819205854313,1.04870903742723e-07,2.31753629102157e-06,2.33458120288457,5.63497345637785,False,,,True,2.43276560766914,2.65121171286817e-06
WBGene00004856,70.5056232336347,66.5206726400292,55.6200941322578,135.734393105062,105.575951708539,154.261154255499,98.036314845837,1.04047643189698,0.32092190647182,10.402606452043,0.0012583756701236,0.0030478673872529,2.05690680877498,2.51600393307954,False,,,False,,
WBGene00004858,263.220993405569,220.848633164897,275.173097285907,768.573966153338,486.105101391835,620.258391068985,439.030030411755,1.30276705522891,0.295123612090268,18.9472549427348,1.34382490326693e-05,9.84707390840962e-05,2.46701597069694,4.00669280241829,False,,,True,2.47382335264243,1.99477955095134e-05
WBGene00004859,185.664807848571,195.570777561686,208.819300777249,719.216005024225,775.489544564161,828.35026061156,485.518449397909,1.97625437086615,0.20925792201042,84.8701243860566,3.1862127239123403e-20,1.84042239097433e-17,3.9347019876297,16.7350824916551,False,,,True,2.43070947423375,8.90246036884423e-07
WBGene00004890,245.594587597161,258.100209843314,264.439394909506,457.442532607319,602.31460219332,556.786353640942,397.446280131927,1.07363168056232,0.234215428776598,20.6596991736591,5.48585805799641e-06,5.01055661556695e-05,2.1047249054384,4.30011402630007,False,,,True,2.76498473643705,0.0001016210447659
WBGene00004898,207.991588539222,160.980027788871,123.925472891171,730.674103143483,423.063346055081,316.556743628472,327.198547007717,1.57737738463488,0.441517801267366,12.2200825430207,0.0004727783921486,0.0013835623422225,2.98426858550633,2.85900126711699,False,,,False,,
WBGene00004903,0.0,1.33041345280059,10.7337023764006,28.2045492166363,86.5874711854205,81.1477946864864,34.6673218196241,3.96803945376901,1.05198863991857,12.4135604995695,0.0004262274366357,0.0012744976421072,15.6494435388439,2.89466096366334,True,57.3635875958667,2.66672989504908e-16,True,33.7593221875855,8.89644461481583e-09
