lib_name,group
T_NEA,Cond1
T_NEB,Cond1
T_NEC,Cond1
T_NLA,Cond2
T_NLB,Cond2
T_NLC,Cond2
T_NXA,Cond3
T_NXB,Cond3
T_NXC,Cond3
T_SEA,Cond4
T_SEB,Cond4
T_SEC,Cond4
T_SLA,Cond5
T_SLB,Cond5
T_SLC,Cond5
T_SXA,Cond6
T_SXB,Cond6
T_SXC,Cond6
